Elapsed_Time,Latency
2016-10-02 13:48:11,347622700
2016-10-02 13:48:11,354402437
2016-10-02 13:48:11,350646447
2016-10-02 13:48:11,383603528
2016-10-02 13:48:11,350932542
2016-10-02 13:48:11,370935558
2016-10-02 13:48:11,377937494
2016-10-02 13:48:11,421749740
2016-10-02 13:48:11,379882490
2016-10-02 13:48:11,419049962
2016-10-02 13:48:11,378005633
2016-10-02 13:48:11,409072911
2016-10-02 13:48:11,426168898
2016-10-02 13:48:11,446006289
2016-10-02 13:48:11,445188640
2016-10-02 13:48:11,417527767
2016-10-02 13:48:11,423957704
2016-10-02 13:48:11,429214976
2016-10-02 13:48:11,434438777
2016-10-02 13:48:11,450869978
2016-10-02 13:48:11,463653413
2016-10-02 13:48:11,451735060
2016-10-02 13:48:11,503269305
2016-10-02 13:48:11,482131221
2016-10-02 13:48:11,480640655
2016-10-02 13:48:11,475699736
2016-10-02 13:48:11,517737033
2016-10-02 13:48:11,488507184
2016-10-02 13:48:11,485570671
2016-10-02 13:48:11,493594104
2016-10-02 13:48:11,505507538
2016-10-02 13:48:11,499426849
2016-10-02 13:48:11,516119146
2016-10-02 13:48:11,525728896
2016-10-02 13:48:11,531857896
2016-10-02 13:48:11,535948438
2016-10-02 13:48:11,577824783
2016-10-02 13:48:11,553718605
2016-10-02 13:48:11,572843277
2016-10-02 13:48:11,573543313
2016-10-02 13:48:11,573527224
2016-10-02 13:48:11,568980277
2016-10-02 13:48:11,578524176
2016-10-02 13:48:11,597656969
2016-10-02 13:48:11,605365931
2016-10-02 13:48:11,636150551
2016-10-02 13:48:11,611435139
2016-10-02 13:48:11,617365534
2016-10-02 13:48:11,629192429
2016-10-02 13:48:11,633051986
2016-10-02 13:48:11,633640024
2016-10-02 13:48:11,638609063
2016-10-02 13:48:11,671249497
2016-10-02 13:48:11,854519526
2016-10-02 13:48:11,656702062
2016-10-02 13:48:11,676011587
2016-10-02 13:48:11,666883686
2016-10-02 13:48:11,674990922
2016-10-02 13:48:11,675581469
2016-10-02 13:48:11,677373699
2016-10-02 13:48:11,693914338
2016-10-02 13:48:11,698110486
2016-10-02 13:48:11,718908509
2016-10-02 13:48:11,704804103
2016-10-02 13:48:11,712232714
2016-10-02 13:48:11,710078978
