Elapsed_Time,Microsoft_Ramp_Up_Latencies
2016-10-04 17:55:01.503386543Z,943.988704
2016-10-04 17:55:01.433386543Z,1016.994464
2016-10-04 17:55:01.353386543Z,1098.28032
2016-10-04 17:55:01.363386543Z,1090.71536
2016-10-04 17:55:01.373386543Z,1083.280688
2016-10-04 17:55:01.543386543Z,940.153088
2016-10-04 17:55:01.533386543Z,959.694144
2016-10-04 17:55:00.263386543Z,2266.475968
2016-10-04 17:55:01.603386543Z,931.549968
2016-10-04 17:55:01.553386543Z,1020.764304
2016-10-04 17:55:01.733386543Z,845.203712
2016-10-04 17:55:01.453386543Z,1133.576656
2016-10-04 17:55:01.723386543Z,876.808528
2016-10-04 17:55:01.443386543Z,1158.626688
2016-10-04 17:55:01.593386543Z,1009.632384
2016-10-04 17:55:01.513386543Z,1095.558752
2016-10-04 17:55:01.413386543Z,1198.98568
2016-10-04 17:55:01.613386543Z,1008.0052
2016-10-04 17:55:01.743386543Z,878.741568
2016-10-04 17:55:01.763386543Z,858.90792
2016-10-04 17:55:01.693386543Z,944.065344
2016-10-04 17:55:01.653386543Z,984.260864
2016-10-04 17:55:01.483386543Z,1154.585696
2016-10-04 17:55:01.773386543Z,864.617632
2016-10-04 17:55:01.273386543Z,1364.783232
2016-10-04 17:55:01.623386543Z,1043.222928
2016-10-04 17:55:01.703386543Z,965.156208
2016-10-04 17:55:01.633386543Z,1036.542112
2016-10-04 17:55:01.573386543Z,1099.262832
2016-10-04 17:55:01.583386543Z,1095.462448
2016-10-04 17:55:01.643386543Z,1037.314528
2016-10-04 17:55:01.713386543Z,968.222672
2016-10-04 17:55:01.753386543Z,941.204256
2016-10-04 17:55:01.673386543Z,1030.74104
2016-10-04 17:55:01.523386543Z,1186.994048
2016-10-04 17:55:01.403386543Z,1340.473952
2016-10-04 17:55:00.753386543Z,2041.021776
2016-10-04 17:55:01.683386543Z,1116.74208
2016-10-04 17:55:00.643386543Z,2167.510256
2016-10-04 17:55:00.743386543Z,2075.44944
