"Time","Mule Latency"
1475181479043268934,53230657
1475181479143268934,40149685
1475181479243268934,109615817
1475181479443268934,44170443
1475181479543268934,51850379
1475181479643268934,65531775
1475181479743268934,29395560
1475181479843268934,56997142
1475181479943268934,26405211
1475181480043268934,55783732
1475181480143268934,46945057
1475181480243268934,112801165
1475181480343268934,21392435
1475181480443268934,24224164
1475181480543268934,80253450
1475181480643268934,72020831
1475181479343268934,1399394944
1475181480743268934,52816050
1475181480843268934,59666673
1475181480943268934,42457088
1475181481043268934,89432270
1475181481143268934,33448580
1475181481243268934,33592557
1475181481343268934,45724105
1475181481443268934,32398684
1475181481543268934,33294539
1475181481643268934,43458351
1475181481743268934,52876292
1475181481843268934,24791807
1475181481943268934,44945200
1475181482043268934,103077335
1475181482143268934,30097458
1475181482243268934,37805118
1475181482343268934,33467439
1475181482443268934,93335550
1475181482543268934,52071091
1475181482843268934,58639781
1475181482943268934,52589180
1475181483043268934,45907566
1475181483143268934,27308712
1475181482743268934,512325229
1475181483243268934,65491228
1475181483343268934,50050081
1475181483443268934,39066364
1475181483543268934,27449668
1475181482643268934,1037221482
1475181483643268934,103134987
1475181483743268934,101836563
1475181483843268934,35216502
1475181483943268934,113060498
1475181484043268934,46914396
1475181484143268934,29849352
1475181484243268934,34213453
1475181484343268934,36367937
1475181484443268934,54154957
1475181484543268934,21518883
1475181484643268934,60994424
1475181484743268934,28381218
1475181484843268934,25160071
1475181485043268934,42191918
1475181484943268934,212830373
1475181485143268934,37113753
1475181485343268934,56140041
1475181485243268934,212052373
1475181485543268934,64683174
1475181485643268934,24311871
1475181485743268934,73486857
1475181485843268934,73269485
1475181485443268934,574453026
1475181485943268934,78778033
1475181486043268934,24698499
1475181486143268934,49137093
1475181486243268934,95106306
1475181486343268934,57055075
1475181486443268934,90825045
1475181486543268934,47239236
1475181486643268934,44378272
1475181486743268934,38452027
1475181486843268934,46076854
1475181486943268934,68478763
1475181487043268934,35281023
1475181487143268934,29437535
1475181487243268934,37883053
1475181487343268934,79306111
1475181487443268934,28571242
1475181487543268934,50922274
1475181487643268934,32781222
1475181487743268934,21002155
1475181487843268934,28914281
1475181487943268934,90373564
1475181488043268934,24120915
1475181488143268934,84806375
1475181488243268934,43974847
1475181488343268934,54326265
1475181488443268934,69193498
1475181488543268934,29719006
1475181488643268934,146567956
1475181488843268934,38819592
1475181488943268934,22927486
1475181488743268934,230846057
1475181489043268934,28179761
1475181489143268934,22772855
1475181489243268934,58780866
1475181489343268934,109613786
1475181489443268934,46838080
1475181489543268934,84362962
1475181489643268934,42525251
1475181489743268934,93500869
1475181489843268934,55912498
1475181489943268934,60734514
1475181490043268934,91950182
1475181490143268934,62936822
1475181490243268934,65405314
1475181490343268934,23310623
1475181490443268934,108366743
1475181490543268934,24471443
1475181490643268934,23087907
1475181490843268934,48130538
1475181490743268934,422420574
1475181491243268934,31166599
1475181491143268934,137179216
1475181491343268934,69941615
1475181490943268934,505586976
1475181491443268934,26122691
1475181491543268934,121201368
1475181491743268934,44601608
1475181491643268934,144608192
1475181491043268934,780787296
1475181491843268934,35893116
1475181491943268934,45324083
1475181492043268934,50524208
1475181492143268934,41915085
1475181492243268934,138575906
1475181492343268934,122916399
1475181492443268934,26677103
1475181492543268934,104335339
1475181492643268934,34154573
1475181492843268934,27965539
1475181492743268934,135902955
1475181492943268934,25130286
1475181493043268934,138880840
1475181493343268934,196563913
1475181493443268934,102281659
1475181493243268934,332213239
1475181493543268934,40370946
1475181493643268934,22336457
1475181493743268934,26273102
1475181493843268934,20338283
1475181493943268934,31279659
1475181493143268934,831694427
1475181494043268934,37649555
1475181494143268934,95850157
1475181494243268934,28181783
1475181494343268934,147746812
1475181494443268934,79526527
1475181494543268934,93982334
1475181494643268934,22338957
1475181494743268934,56959048
1475181494843268934,25264490
1475181494943268934,50485112
1475181495043268934,26601431
1475181495143268934,119333320
1475181495243268934,109255301
1475181495343268934,128947768
1475181495443268934,66954526
1475181495543268934,37918736
1475181495643268934,36340913
1475181495743268934,80395031
1475181495843268934,45900614
1475181495943268934,42831475
1475181496043268934,99079783
1475181496143268934,158477488
1475181496343268934,28614557
1475181496243268934,139071493
1475181496443268934,87814437
1475181496543268934,73438876
1475181496643268934,40053495
1475181496843268934,49329618
1475181496943268934,30110304
1475181497143268934,39404640
1475181497043268934,143841238
1475181497243268934,57741446
1475181497343268934,43940899
1475181497443268934,34559277
1475181497543268934,26710355
1475181496743268934,842130984
1475181497643268934,28015399
1475181497743268934,43284079
1475181497843268934,73633337
1475181497943268934,61101403
1475181498043268934,52888551
1475181498143268934,97651063
1475181498243268934,39544598
1475181498343268934,57332861
1475181498443268934,26239620
1475181498543268934,51343889
1475181498643268934,50913322
1475181498743268934,29653184
1475181499043268934,24814952
1475181498943268934,131032992
1475181499143268934,28365674
1475181499243268934,63828291
1475181499343268934,44164653
1475181499443268934,35987045
1475181499543268934,26813926
1475181499643268934,28442334
1475181498843268934,923809146
1475181499743268934,75221015
1475181499843268934,27294146
1475181499943268934,70392355
1475181500043268934,51010992
1475181500143268934,63887190
1475181500243268934,60795345
1475181500343268934,76962219
1475181500443268934,40954325
1475181500543268934,103706370
1475181500643268934,49338592
1475181500743268934,55282458
1475181500843268934,87892566
1475181500943268934,59677751
1475181501043268934,60153863
1475181501143268934,27735940
1475181501243268934,44239864
1475181501343268934,43727014
1475181501443268934,61035169
1475181501543268934,106195003
1475181501643268934,102328156
