Elapsed_Time,Status Code,Latency,Bytes_Out,Bytes_In
1475430490536563104,200,263246617,39,382,""
1475430490556563104,200,279068292,39,382,""
1475430490561563104,200,284565849,39,382,""
1475430490546563104,200,301468145,39,382,""
1475430490541563104,200,307488717,39,382,""
1475430490566563104,200,299516242,39,382,""
1475430490571563104,200,306339376,39,382,""
1475430490551563104,200,332366364,39,382,""
1475430490496563104,200,409278216,39,382,""
1475430490586563104,200,325595736,39,382,""
1475430490591563104,200,323809976,39,382,""
1475430490581563104,200,341762011,39,382,""
1475430490606563104,200,334399298,39,382,""
1475430490596563104,200,344863840,39,382,""
1475430490576563104,200,370054259,39,382,""
1475430490601563104,200,347622700,39,382,""
1475430490616563104,200,354402437,39,382,""
1475430490626563104,200,350646447,39,382,""
1475430490611563104,200,383603528,39,382,""
1475430490661563104,200,350932542,39,382,""
1475430490641563104,200,370935558,39,382,""
1475430490636563104,200,377937494,39,382,""
1475430490621563104,200,421749740,39,382,""
1475430490666563104,200,379882490,39,382,""
1475430490631563104,200,419049962,39,382,""
1475430490676563104,200,378005633,39,382,""
1475430490671563104,200,409072911,39,382,""
1475430490656563104,200,426168898,39,382,""
1475430490646563104,200,446006289,39,382,""
1475430490651563104,200,445188640,39,382,""
1475430490696563104,200,417527767,39,382,""
1475430490691563104,200,423957704,39,382,""
1475430490716563104,200,429214976,39,382,""
1475430490721563104,200,434438777,39,382,""
1475430490706563104,200,450869978,39,382,""
1475430490711563104,200,463653413,39,382,""
1475430490726563104,200,451735060,39,382,""
1475430490681563104,200,503269305,39,382,""
1475430490731563104,200,482131221,39,382,""
1475430490736563104,200,480640655,39,382,""
1475430490741563104,200,475699736,39,382,""
1475430490701563104,200,517737033,39,382,""
1475430490746563104,200,488507184,39,382,""
1475430490756563104,200,485570671,39,382,""
1475430490751563104,200,493594104,39,382,""
1475430490766563104,200,505507538,39,382,""
1475430490776563104,200,499426849,39,382,""
1475430490771563104,200,516119146,39,382,""
1475430490791563104,200,525728896,39,382,""
1475430490786563104,200,531857896,39,382,""
1475430490801563104,200,535948438,39,382,""
1475430490761563104,200,577824783,39,382,""
1475430490796563104,200,553718605,39,382,""
1475430490781563104,200,572843277,39,382,""
